id_menu,nama_menu,foto_menu,deskripsi_menu,harga_menu,id_kategori_menu,created_at,kategori,updated_at
00fb1fbf-2092-46e3-883e-e6c762d5668b,Nasi Sop Buntut,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Food/nasisopbuntut.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0Zvb2QvbmFzaXNvcGJ1bnR1dC5qcGVnIiwiaWF0IjoxNzQ3MTEzNDgzLCJleHAiOjE3Nzg2NDk0ODN9.BulGrsIZcp4yZscr_HJnD5PbtHpBd9Fkqp6pCIPH3V0,"A hearty oxtail soup served with rice, featuring tender oxtail pieces in a clear, aromatic broth enriched with vegetables and traditional Indonesian spices.",45000.00,2,2025-05-13 05:18:31+00,Food,2025-05-13 12:18:33
09071665-48a7-46ef-8b21-a558b00c7d0b,Secreto Mango,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Drink/Secreto/secreto%20mango.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0RyaW5rL1NlY3JldG8vc2VjcmV0byBtYW5nby5qcGVnIiwiaWF0IjoxNzQ3MTEyNDc5LCJleHAiOjE3Nzg2NDg0Nzl9.6I_tuOJFXEMcFae2FhFfXVUl1EakjXK4nxZT6Nw_HXg,A sweet and vibrant mango-based drink that delivers a tropical sensation in every sip.,20000.00,1,2025-05-13 05:01:31+00,Drink,2025-05-13 12:01:37
0b5e528e-bcd6-49c2-a14d-933b88c65a48,Mineral Water,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Drink/Air%20Mineral/mineralwater.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0RyaW5rL0FpciBNaW5lcmFsL21pbmVyYWx3YXRlci5qcGVnIiwiaWF0IjoxNzQ3MTExODI5LCJleHAiOjE3Nzg2NDc4Mjl9.ZVrrUnguzq5SdqBKGzu_F87lZ76AUee22uaVOOKHsy4,"Pure, refreshing mineral water—your essential hydration choice.",7000.00,1,2025-02-26 18:43:02.298458+00,Drink,
1db169b6-125c-4cbd-8f0f-6f62a16979cf,Chocolate,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Drink/Milk%20Based/chocolate.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0RyaW5rL01pbGsgQmFzZWQvY2hvY29sYXRlLmpwZWciLCJpYXQiOjE3NDcxMTIyODgsImV4cCI6MTc3ODY0ODI4OH0.PVSNBFPLQch5SJnMg4T_xJJCp5fW2dSITQSF4Vs4_eQ,"Smooth and velvety chocolate milk, perfect for chocolate lovers of all ages.",20000.00,1,2025-05-13 04:58:19+00,Drink,2025-05-13 11:58:27
30a8f1c4-b4de-404f-bbe8-6031f10cdc73,Pisang Goreng,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Snack/pisanggoreng.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L1NuYWNrL3Bpc2FuZ2dvcmVuZy5qcGVnIiwiaWF0IjoxNzQ3MTEzNjM3LCJleHAiOjE3Nzg2NDk2Mzd9.tdItQ7fcG-OHyk6cnJGd6R19bzV9uJk-Ucezgl6HlI4,"Sweet bananas dipped in batter and deep-fried until golden and crispy on the outside, soft and sweet on the inside—a beloved traditional snack.",18000.00,3,2025-05-13 05:20:52.41817+00,Snack,
3b815ff0-b10c-4cd6-805a-94bd9966c145,Nasi Telor,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Food/nasitelor.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0Zvb2QvbmFzaXRlbG9yLmpwZWciLCJpYXQiOjE3NDcxMTM1MjQsImV4cCI6MTc3ODY0OTUyNH0.wCgeTCNgLxqcP8TUXyPZ47lxPmdpcNG_N-82z_Nqpf8,"Steamed rice served with a savory fried egg, topped with sweet soy sauce and crispy shallots—a simple yet satisfying comfort dish.",18000.00,2,2025-05-13 05:19:06.975041+00,Food,
3fbeb53a-209d-4cee-a297-c33091a44c0b,Tahu Cabe Garam,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Snack/tahucabegaram.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L1NuYWNrL3RhaHVjYWJlZ2FyYW0uanBlZyIsImlhdCI6MTc0NzExMzY1NywiZXhwIjoxNzc4NjQ5NjU3fQ.qvjH0iREnkbCJs53fzc9xtcHtInyq7aPDrevrBZ3_NE,"Crispy tofu tossed in a mix of chopped chilies, garlic, and salt—spicy, aromatic, and full of umami flavor.",18000.00,5,2025-05-13 13:22:32.8475+00,,
4114925d-acf5-4b6e-9a4a-eee0ad4147f3,Nasi Kulit,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Food/nasikulit.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0Zvb2QvbmFzaWt1bGl0LmpwZWciLCJpYXQiOjE3NDcxMTI5MzEsImV4cCI6MTc3ODY0ODkzMX0.DudWhReV7mTela_o4ZO_j_TTm2Zo1U3u82rvTg3tnQ0,"Fluffy white rice paired with crispy deep-fried chicken skin, served with sambal and fresh cucumber slices for a flavorful crunch in every bite.",18000.00,2,2025-05-13 05:09:07+00,Food,2025-05-13 12:09:11
4c114ec3-bcfd-4eb9-a401-821047a1bd9f,Matcha,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Drink/Milk%20Based/matcha.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0RyaW5rL01pbGsgQmFzZWQvbWF0Y2hhLmpwZWciLCJpYXQiOjE3NDcxMTI0MjMsImV4cCI6MTc3ODY0ODQyM30.MXCJihByWKBVUS0ihA77gRghTX9VYAmsrdI4vlGlZXE,"Creamy green tea latte made with authentic matcha powder—earthy, rich, and energizing.",20000.00,1,2025-05-13 05:00:28+00,Drink,2025-05-13 12:00:35
4e0bed00-d36d-42aa-a543-2d0a0c7b3bca,Butterscotch Coffe,https://nfafmiaxogrxxwjuyqfs.supabase.co/storage/v1/object/sign/menu/Drink/Bicopis%20Coffee/butterscoth%20coffee.jpeg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6InN0b3JhZ2UtdXJsLXNpZ25pbmcta2V5X2ExYzUxODAwLTdiOWItNDRkMi1iMDc5LTkzNjE5NTA4NzY1NyJ9.eyJ1cmwiOiJtZW51L0RyaW5rL0JpY29waXMgQ29mZmVlL2J1dHRlcnNjb3RoIGNvZmZlZS5qcGVnIiwiaWF0IjoxNzQ3MTExOTY3LCJleHAiOjE3Nzg2NDc5Njd9.W3ybAOa-1CIvShCk4N8vKfBpI-7RHUmf2GrPkiuA2cM,"Bold coffee blended with buttery butterscotch flavor, creating a rich and comforting beverage.",22000.00,5,2025-05-13 13:19:06.359169+00,,
